処分事由,処分理由,処分内容,人数
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,正当な理由のない欠勤,免職,18
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,正当な理由のない欠勤,降任,0
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,正当な理由のない欠勤,停職,42
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,正当な理由のない欠勤,減給,12
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,正当な理由のない欠勤,戒告,5
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,不正外出等,免職,0
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,不正外出等,降任,0
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,不正外出等,停職,20
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,不正外出等,減給,11
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,不正外出等,戒告,6
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,職務上の注意義務違反（職務怠慢を含む）,免職,2
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,職務上の注意義務違反（職務怠慢を含む）,降任,3
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,職務上の注意義務違反（職務怠慢を含む）,停職,49
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,職務上の注意義務違反（職務怠慢を含む）,減給,73
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,職務上の注意義務違反（職務怠慢を含む）,戒告,34
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,物件及び金品取扱いに関する違反（業務上横領等）,免職,6
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,物件及び金品取扱いに関する違反（業務上横領等）,降任,0
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,物件及び金品取扱いに関する違反（業務上横領等）,停職,43
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,物件及び金品取扱いに関する違反（業務上横領等）,減給,10
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,物件及び金品取扱いに関する違反（業務上横領等）,戒告,7
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,ハラスメント,免職,17
