処分事由,処分理由,官職等,人数
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,正当な理由のない欠勤,自衛官,72
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,不正外出等,自衛官,37
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,職務上の注意義務違反（職務怠慢を含む）,自衛官,136
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,物件及び金品取扱いに関する違反（業務上横領等）,自衛官,60
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,ハラスメント,自衛官,334
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,私企業への関与制限等違反,自衛官,14
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,指揮監督義務違反,自衛官,2
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,情報保全に関する違反,自衛官,19
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,その他,自衛官,65
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,正当な理由のない欠勤,事務官等,5
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,不正外出等,事務官等,0
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,職務上の注意義務違反（職務怠慢を含む）,事務官等,25
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,物件及び金品取扱いに関する違反（業務上横領等）,事務官等,6
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,ハラスメント,事務官等,30
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,私企業への関与制限等違反,事務官等,0
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,指揮監督義務違反,事務官等,0
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,情報保全に関する違反,事務官等,0
職務遂行上の行為又はこれに関連する行為に係る懲戒処分,その他,事務官等,3
私的行為に係る懲戒処分,私有車両運転に伴う悪質な交通法規違反 ,自衛官,113
私的行為に係る懲戒処分,窃盗・詐欺・恐喝・単純横領,自衛官,118
私的行為に係る懲戒処分,傷害又は暴行脅迫,自衛官,124
私的行為に係る懲戒処分,私行上の非行（その他類するものを含む）,自衛官,373
私的行為に係る懲戒処分,私有車両運転に伴う悪質な交通法規違反 ,事務官等,6
私的行為に係る懲戒処分,窃盗・詐欺・恐喝・単純横領,事務官等,1
私的行為に係る懲戒処分,傷害又は暴行脅迫,事務官等,2
私的行為に係る懲戒処分,私行上の非行（その他類するものを含む）,事務官等,23
